Gene_name	filter
ASIC1	-
ZNF702P	-
PLAT	-
TBC1D13	-
WHAMMP1	-
RPN2	-
PICK1	-
CEP89	-
LINC00587	-
TREM1	-
SAMD1	-
BAHCC1	-
L3MBTL2	-
ASXL3	-
DEPDC1	-
OR2A14	-
PPP1R16B	-
BEND7	-
CAMK1D	-
SPATA6L	-
ZMYND12	-
GMDS	-
ATPSCKMT	-
OR8D1	-
THOC1	-
ABI3	-
ANKLE2	-
RAB40B	-
LINCMD1	-
DENND10P1	-
DDX24	-
ABCA17P	-
IPO4	-
PRSS57	-
LINC01567	-
MIR7705	-
PCLO	-
SEC61A2	-
RAPH1	-
TNMD	-
RUVBL1-AS1	-
BLVRB	-
RSAD1	-
TINCR	-
PCDHB11	-
KCND3-IT1	-
DGKZ	-
RNF141	-
HYKK	-
BOLA3-AS1	-
UNC50	-
CDH10	-
STAB1	-
CHMP1B	-
LINC02147	-
RWDD4	-
C2orf73	-
LYSMD4	-
ZNF492	-
MBOAT2	-
LINC02570	-
SLC39A12	-
GIMAP6	-
SNORD88A	-
PRRG3	-
PWRN2	-
TRAF3IP2-AS1	-
DYRK2	-
TXNDC2	-
FAM230B	-
LINC02398	-
ASB5	-
MALRD1	-
TTLL6	-
CERS2	-
BRWD1-AS2	-
CLEC4E	-
LINC00863	-
PIPOX	-
ENOX1-AS2	-
PITPNM2	-
CA4	-
LINC00667	-
MOB3B	-
CACNG3	-
RNF40	-
GRIK3	-
PWAR4	-
EFNA3	-
LINC02495	-
MIR509-1	-
CHRM1	-
PLEKHD1	-
PLPBP	-
KNSTRN	-
LINC00347	-
VIPR2	-
IQGAP3	-
KCNK15-AS1	-
HRC	-
INSL3	-
APOBEC1	-
TMEM187	-
ARHGAP22	-
LINC00366	-
MRPL35	-
PRAMEF11	-
GRIA4	-
PI4KAP1	-
LINC00673	-
NPSR1	-
LINC02153	-
PROKR2	-
ELMO3	-
FMNL2	-
CALU	-
MIOS	-
CEACAM18	-
ATP13A3	-
GNPTAB	-
OR1S1	-
POGLUT1	-
MUC4	-
OR2A7	-
CNTN4-AS1	-
SPDYE11	-
BRCA1	-
MAP2K2	-
NEU4	-
GEM	-
NUTM2E	-
PGM5	-
KIAA1522	-
ANKRD62	-
TTLL8	-
LCNL1	-
TYK2	-
GGT2	-
CCDC117	-
SLC5A12	-
TEC	-
SIK3	-
LINC01881	-
KRTAP3-2	-
MRM1	-
GTF2F2	-
PRSS44P	-
LINC02234	-
HLA-DQB2	-
SNAP47	-
TTC33	-
ADRA2B	-
MIR6074	-
LRRIQ3	-
PISRT1	-
UGT2B15	-
BCL2L2	-
TG	-
AKR1C4	-
MED9	-
CYP2A6	-
NAGPA-AS1	-
REXO5	-
CABIN1	-
FAM117B	-
COL10A1	-
SMOC2	-
DCAF12L2	-
FMR1NB	-
CSNK1G1	-
EXTL1	-
HAGLR	-
MIR4643	-
OR10R2	-
PCDHB19P	-
OR7G2	-
ZBTB43	-
B4GALNT4	-
RPUSD4	-
TSSK1B	-
OGDHL	-
ZNF845	-
EBLN2	-
ZNRF2P1	-
SYNGAP1	-
SPNS1	-
COG1	-
MORC4	-
PRMT2	-
RASAL3	-
ZNF549	-
SPACA6P-AS	-
AGAP9	-
SPATA25	-
INSIG2	-
OR4C16	-
AOC3	-
GOLGA2P5	-
KRTAP6-1	-
LINC02049	-
STRCP1	-
SCARNA9	-
LINC02133	-
ZNF518B	-
FERMT1	-
LINC00517	-
FSIP2-AS1	-
EDIL3	-
HAPLN1	-
PUM1	-
PRICKLE2-AS2	-
CRIP2	-
HOXC9	-
IPW	-
ZNF431	-
LINC02569	-
CLIC1	-
ALOX15P1	-
SOX6	-
TBX6	-
PWWP2B	-
KBTBD6	-
RPS18P9	-
ZSWIM6	-
KIAA0319	-
PDHA1	-
ATP11A	-
DDI1	-
MIR4698	-
SLC1A6	-
SYT9	-
OR5AR1	-
ZNF687-AS1	-
UTP14C	-
ZNF423	-
POLR3B	-
AP4S1	-
RNASE7	-
LINC02564	-
ACTN3	-
GSTO2	-
JDP2	-
ZBTB18	-
KCNN2	-
CDH2	-
LINC00400	-
SOGA3	-
PFKL	-
INTS13	-
IKBKE	-
CCDC144NL	-
OR1B1	-
PIBF1	-
PPP1R3A	-
ZNF107	-
RBM26	-
MOXD1	-
PRORSD1P	-
APC	-
TRIM11	-
LINC01704	-
LINC02111	-
MIR4527HG	-
DAPK1	-
PTENP1-AS	-
COLGALT2	-
EVX2	-
DHX9	-
LINC01917	-
EVI5L	-
CENPN	-
CTPS2	-
NID1	-
F13B	-
SIGLEC12	-
RPL26	-
MIR548AE2	-
GAS6-DT	-
LAMA5-AS1	-
NDUFB2-AS1	-
C2orf91	-
OBSL1	-
TMEM47	-
ZNF787	-
KIAA2012	-
LURAP1	-
MCM10	-
MOV10	-
RFX2	-
SAMD5	-
PAUPAR	-
SHB	-
KLHL29	-
NKX2-3	-
OR2M3	-
DUSP5P1	-
MSH4	-
CCT6P1	-
LMBR1	-
DRGX	-
HIRA	-
LINC02533	-
SPTA1	-
MFSD13B	-
PDCL	-
LINC01277	-
ZPBP2	-
LRP10	-
PKD2L1	-
LINC02232	-
BZW2	-
EBPL	-
LEPROTL1	-
LINC01621	-
MDH2	-
HCG20	-
PKDCC	-
CYBB	-
LINC01879	-
TMPRSS15	-
TATDN3	-
TOP3B	-
LAMA1	-
SLC8A1-AS1	-
SRRT	-
TPRG1L	-
GSDMB	-
PGM5P2	-
CCDC68	-
TMEM200C	-
MIR7845	-
STC2	-
TRMT44	-
MIR4509-2	-
MAGEA9	-
MGLL	-
SOCS5	-
PCOLCE-AS1	-
SLC15A4	-
GAL3ST3	-
MRPL47	-
SNRPA	-
AP4B1	-
MIR548AQ	-
LINC02278	-
SGCE	-
KCNIP1	-
LINC01553	-
PCMTD2	-
PLK2	-
HOXA-AS2	-
AREG	-
CHID1	-
TMEM174	-
CDRT4	-
CDCA4	-
OR13H1	-
WASHC1	-
LINC00592	-
TFCP2	-
UBE3B	-
HMGCLL1	-
SAMD7	-
HOXB-AS1	-
GRIN2A	-
C12orf60	-
EPN2-IT1	-
SLC7A11	-
ERMAP	-
GUCA1B	-
AARS1	-
PSMB1	-
SHANK2-AS1	-
CES5AP1	-
ITGA4	-
SCHIP1	-
LINC02743	-
TONSL	-
CCDC144B	-
SCIN	-
POMGNT2	-
SLC25A29	-
RASAL1	-
GUCA2A	-
WDR70	-
RAMP2	-
GAS8-AS1	-
TACC3	-
FMO6P	-
ACKR1	-
SART1	-
HOTAIR	-
LINC02369	-
RABEP2	-
LINC01504	-
NLRP4	-
PGAM1P5	-
HOXC11	-
SFTA3	-
ZNF382	-
SHROOM4	-
ZNF140	-
LINC00551	-
PPP1R1C	-
IFI16	-
SH2D4B	-
OR56A1	-
ADAMTS14	-
NUP62	-
ASGR1	-
COL6A4P2	-
TNPO1	-
LYRM4-AS1	-
OR8B3	-
USP17L4	-
MYO15B	-
SLC15A5	-
PLEKHA6	-
PSMC4	-
TMEM132D-AS1	-
ABCF1	-
ANAPC2	-
GAK	-
LINC02294	-
KCNA1	-
CCT3	-
TTC7A	-
CCAR1	-
LINC01173	-
OR52L1	-
RNF213-AS1	-
DOK6	-
METTL18	-
SBF1P1	-
SRC	-
TPRXL	-
GSTA2	-
SNTG2	-
NUP205	-
OR6B3	-
TBC1D3L	-
CASQ2	-
MMP17	-
TRMT12	-
APOBEC3H	-
BRINP1	-
LINC02292	-
ZNF502	-
ACP7	-
HLA-C	-
STK32B	-
FOXN3-AS1	-
NHLRC2	-
POMC	-
UBE2E1	-
CCDC9	-
HOGA1	-
GBGT1	-
ALDH3A2	-
LINC01399	-
SNORD116-18	-
MTMR4	-
MOSPD3	-
COL12A1	-
KCND2	-
KATNB1	-
PASK	-
NIPSNAP1	-
CH25H	-
MANCR	-
PJA1	-
TTLL13P	-
B3GALT1	-
RNF216	-
PLA2G1B	-
DDX4	-
PLA2G12A	-
LINC02097	-
PRRX2-AS1	-
NOS1AP	-
KLF6	-
RHOJ	-
CHMP4C	-
RPL21P28	-
SEMA6A	-
MCL1	-
CTNS	-
SNX8	-
LINC01554	-
C4A	-
KLC4	-
TXNDC15	-
KCNH1	-
TMEM131	-
SNORA75	-
UBTF	-
ATG4B	-
RNF44	-
PVR	-
MIR3199-1	-
PIGR	-
PLPP5	-
ST3GAL1	-
ZFHX4	-
GPRACR	-
CYP8B1	-
CENPI	-
GOLGA8T	-
MT-TQ	-
CLDN7	-
DDX47	-
DHRS4	-
RBPMS-AS1	-
MKRN7P	-
GDAP1	-
OGFRL1	-
TNFRSF10B	-
GML	-
LINC01002	-
TECPR1	-
ORC6	-
TXNDC11	-
RANBP3L	-
LINC01983	-
CHM	-
CRTC3	-
GPR39	-
ZNF135	-
UNC79	-
GSTT1-AS1	-
ZFP37	-
RIOX2	-
SCAF4	-
SLC22A31	-
ITGA10	-
SATB2	-
CYP2R1	-
PSG8-AS1	-
CST7	-
AKAP13	-
CCDC144A	-
TAC4	-
JCAD	-
VCAN-AS1	-
SP9	-
CXCL16	-
LANCL2	-
CENPU	-
OR51L1	-
LINC00869	-
MIR7853	-
LINC01307	-
ST7L	-
TDO2	-
SOD2	-
SNORD3D	-
GABRA1	-
OPN1SW	-
LINC01159	-
ESPL1	-
KRT1	-
LINC02149	-
INTS9	-
SYNPO2L	-
PTOV1-AS2	-
VRK1	-
MED13	-
CEP170	-
FJX1	-
LINC02579	-
MPC2	-
CLEC18C	-
ZNF600	-
DNASE2	-
ERV3-1	-
UGT2A1	-
CPNE6	-
LINC02650	-
ESRG	-
SEPTIN8	-
SNTG2-AS1	-
KRT39	-
DHRS1	-
DBH-AS1	-
CNPPD1	-
CCT6P3	-
SMARCD2	-
ZNF337	-
ZNF878	-
KRTAP4-2	-
LAMC1	-
CAPN14	-
PRSS53	-
TM2D3	-
LINC02374	-
PARD6G	-
LINC01005	-
FOXL2NB	-
PRAMENP	-
LINC02372	-
CHRM2	-
OR52N4	-
IQSEC2	-
GOLGA5	-
SHBG	-
LINC00309	-
MIA	-
FUT9	-
POLB	-
PDLIM5	-
NMUR2	-
PCDHGB6	-
TMEM30A	-
LRRC20	-
ALDH1L1	-
TMEM72-AS1	-
AGER	-
ERG28	-
LINC01093	-
CUX1	-
CFAP77	-
TMEM183A	-
ZNF91	-
MTA1	-
TP53BP1	-
FHIT	-
ROCK1P1	-
PLA2R1	-
SCARF2	-
LINC01857	-
IKZF4	-
MCCC1	-
RPS6KA4	-
MYO5A	-
HERC2P9	-
PPP1CB	-
FCGR2A	-
C11orf72	-
SAP25	-
ADI1	-
LINC02090	-
CASD1	-
GUK1	-
CBX8	-
CCDC91	-
KCNE4	-
LBR	-
TMEM209	-
SALL2	-
LINC01149	-
PHLDA3	-
MAP3K10	-
MIR4519	-
N4BP2L1	-
CKMT2-AS1	-
MIR3657	-
LINC02588	-
OR6V1	-
VPS16	-
C2orf81	-
LINC00486	-
IRF2	-
ST7-AS1	-
LINC00906	-
PIP5K1P1	-
TDRG1	-
SMG7	-
WDR73	-
PDGFD	-
CPSF1	-
MRPL14	-
PRSS48	-
BPIFB6	-
MBLAC2	-
RDM1	-
SSPN	-
BMPR1A	-
TRIB3	-
CATIP-AS2	-
MFSD4A-AS1	-
ANKRD6	-
LRRC43	-
LINC02105	-
C5orf22	-
OR6C68	-
PIGQ	-
EMILIN2	-
PTCSC2	-
TOMM40	-
ZNF10	-
EMCN	-
CLECL1	-
RNF19B	-
BCL6B	-
FRMD6-AS2	-
LINC02113	-
KXD1	-
PDE2A	-
GRIN3A	-
SLC16A4	-
TASOR	-
CPSF4	-
SEMA6B	-
LINC02269	-
AQR	-
WDR88	-
NAGA	-
LNCTAM34A	-
RGS7	-
EFCAB7	-
NCKAP1L	-
ATP6V0E2	-
CCNG1	-
MAGEL2	-
LINC02393	-
TMEM235	-
DIMT1	-
FHAD1	-
LINC02313	-
WNT8B	-
BMP8A	-
CASC21	-
PLCL1	-
FCRL3	-
MIR8086	-
SEMA4F	-
SRGAP3	-
KRTAP9-1	-
CEP350	-
MUC22	-
FAM25BP	-
SARAF	-
PTPRE	-
PMS2P3	-
LEMD1-AS1	-
SPART	-
OR14A16	-
RTBDN	-
WASH5P	-
DDX60	-
LINC02056	-
ZP3	-
CDV3	-
CCDC34	-
CPQ	-
DOCK10	-
UMAD1	-
PRKCD	-
PRRC1	-
OR52B6	-
C6orf99	-
NMU	-
KIF21A	-
BIRC6-AS2	-
MAGI2	-
DKC1	-
ZNF552	-
APOL3	-
MTUS2-AS1	-
GALNTL6	-
TSPAN18	-
KRTAP10-9	-
SLC16A3	-
CLCA3P	-
ZFPM2	-
KRTAP10-8	-
LINC02578	-
IDH1-AS1	-
LINC02212	-
HDHD3	-
KCNE3	-
LRP8	-
SCMH1	-
RNF125	-
LGALS3BP	-
AURKA	-
SDAD1	-
CFAP45	-
ATRNL1	-
LINC00639	-
TUBAL3	-
CDKN2A	-
DUSP11	-
LINC01520	-
PDCD4-AS1	-
LINC01104	-
LINC01968	-
RHBG	-
SLC26A3	-
OR8H2	-
SIM2	-
AQP7	-
ECRG4	-
PTBP2	-
C16orf72	-
IQCH-AS1	-
LINC00226	-
PWARSN	-
ANTXR1	-
OR6F1	-
MPG	-
LINC01821	-
DCAF5	-
YDJC	-
CDKN1A	-
ARRDC1	-
PADI3	-
PHC3	-
FBXO33	-
MIR548AI	-
NUDCD2	-
ARHGEF6	-
MAGEB3	-
MROH6	-
SEMA5A-AS1	-
SORBS3	-
CFAP58	-
CTXN3	-
OR14K1	-
ZNF879	-
C15orf40	-
GFRA2	-
SLC35F1	-
SLX4IP	-
LINC02535	-
PNMA2	-
SSU72	-
OR10J1	-
DNAJA3	-
LINC00944	-
MYL2	-
NAP1L3	-
IFNA5	-
CD300E	-
DUS3L	-
SNRNP40	-
GLRA3	-
VENTXP1	-
FAM126A	-
ESPNL	-
SGPP2	-
MRPL40	-
FAM238C	-
CIPC	-
DLEU7	-
FEZF1-AS1	-
LINC00967	-
POU3F3	-
SSX2IP	-
ENTPD3	-
AMACR	-
RARRES1	-
ZNF271P	-
DIPK2A	-
MIR3141	-
LINC01515	-
LINC01867	-
HERPUD2	-
PPP1R36	-
KIF25-AS1	-
SLC10A5	-
GABPA	-
ZNF304	-
LINC02490	-
OR1F1	-
CACFD1	-
SYNPO2	-
CYP2F1	-
LACTB2-AS1	-
KRT2	-
MIR639	-
PIGC	-
KCNMB1	-
ZNF572	-
TEX13B	-
LINC01300	-
LINC00466	-
LINC02225	-
PRAMEF6	-
ZFAND3	-
THSD4-AS2	-
DLK2	-
CBARP	-
C8orf74	-
SLCO4A1-AS1	-
KCP	-
LINC02676	-
WDR47	-
CACNB3	-
HTATSF1P2	-
TCIM	-
ETV2	-
SLC6A11	-
SOX21	-
CCL15	-
RNPEP	-
GPR146	-
HOXC-AS2	-
APOL4	-
NCKAP5-AS2	-
MTRNR2L5	-
LIPF	-
LINC00597	-
SPATA31A3	-
NDC80	-
JPH1	-
SEMA4A	-
CPE	-
ENPP3	-
SLC35E2A	-
IPO5	-
STAT1	-
CMTM7	-
IGF2R	-
FOXD2-AS1	-
GBX1	-
LINC02546	-
IL17F	-
LINC01646	-
GAST	-
TM6SF2	-
LINC00663	-
GATA4	-
EVI2B	-
CDK11A	-
FBXO30	-
FBXO7	-
TGFB1	-
TAS2R20	-
LINC01204	-
DLL1	-
PCDHGA7	-
PON2	-
SMYD5	-
MUC1	-
FBXL2	-
HSD3B7	-
MZT1	-
DAW1	-
LRRC37A	-
CHCHD3	-
MIR4803	-
MTNR1B	-
KCNH8	-
AGAP2	-
CORO7-PAM16	-
ADAM29	-
ZNF675	-
HLA-DOB	-
VAV2	-
SNHG17	-
NFXL1	-
SLC9B2	-
FBXW10	-
TOLLIP	-
LINC00709	-
PLTP	-
SVIL	-
NCAPH	-
ACOT11	-
FOXRED2	-
NRG1	-
NDUFS1	-
LINC01503	-
SOWAHD	-
LYPLAL1-DT	-
ITFG2	-
PHACTR2	-
NUMA1	-
PLCE1-AS2	-
CISD2	-
AKR1A1	-
SDCBP	-
SYT8	-
PCSK9	-
IL18RAP	-
ASB9	-
MTHFR	-
FAM217A	-
RBM12B-AS1	-
TSPYL1	-
WDR5	-
ENG	-
SLC16A12	-
BAHD1	-
SLC19A3	-
RFTN2	-
TP53AIP1	-
C1QTNF1	-
LMO4	-
VAPA	-
TCERG1L	-
ZNF496	-
LRRC39	-
GJA3	-
DOK5	-
RNF112	-
HOXB3	-
MTIF2	-
NVL	-
LINC01484	-
PDXP	-
TAGLN3	-
POLR2C	-
SEMA3F	-
TGFA-IT1	-
CCDC182	-
MIR1255A	-
MIR205HG	-
TMLHE	-
TDP2	-
NAA40	-
MIR1307	-
SHF	-
PTPN1	-
ZNF280C	-
LINC01226	-
DAPL1	-
NDRG1	-
LYPLAL1	-
CCDC130	-
OR5L2	-
DGKD	-
MIR4771-1	-
STAG3L4	-
ARRDC2	-
C11orf49	-
CASS4	-
LNCAROD	-
LINC01360	-
SHLD3	-
NT5DC2	-
TAS2R31	-
HOXA2	-
BEST3	-
CES1	-
FAM131A	-
KRTAP5-5	-
CEP97	-
FBXO24	-
FLOT1	-
NFASC	-
DOCK5	-
ARMS2	-
HTRA2	-
BDKRB2	-
ANKRD63	-
HIBCH	-
DAGLA	-
HNRNPCL1	-
SRGAP2D	-
LZTS1	-
TP53RK	-
ZNF217	-
LINC01771	-
PDILT	-
ETS2	-
TPM1-AS	-
LINC01570	-
MMP10	-
NCKAP5	-
AFP	-
GASK1B	-
TSC22D2	-
BBOX1-AS1	-
LINC02764	-
LINC00293	-
PANO1	-
RWDD3	-
VPS13A-AS1	-
LINC01525	-
ARID1B	-
B3GNT7	-
INAVA	-
LINC02252	-
KLRC4-KLRK1	-
MIR1234	-
CCAT2	-
KRI1	-
FUZ	-
OR8K1	-
LINC01606	-
SNORD3G	-
PCNT	-
TOPORS	-
MIR10524	-
RPL13AP17	-
KRTAP12-4	-
ZEB1-AS1	-
EIF2S3	-
SNORA120	-
GOLGA8DP	-
PFKP	-
PGGHG	-
C17orf49	-
HAO2	-
LIMA1	-
CDS2	-
PSMB10	-
BICC1	-
OLAH	-
ANXA2R	-
RASGEF1C	-
STARD9	-
POM121L8P	-
ABCA6	-
SRSF6	-
OR4A15	-
GABPB1-AS1	-
PNPLA5	-
MIR646	-
DRC1	-
NRCAM	-
INTS2	-
ZNF354B	-
NBAT1	-
OR9G4	-
PIEZO2	-
SPRY3	-
TMEM87B	-
LINC01176	-
LINC02018	-
CBX3P2	-
MID2	-
ATAD2	-
SOD1	-
TRIM45	-
ACTR3BP2	-
ADAMTS2	-
MAGI1-IT1	-
USP4	-
PHKG1	-
PTPN12	-
HCK	-
TAMM41	-
PPFIA3	-
PRPF39	-
CASP10	-
ACSM4	-
A2M-AS1	-
RNFT1	-
REP15	-
PRRT3-AS1	-
AGBL1	-
RRAD	-
TBRG4	-
DSCAM	-
CTSE	-
ZSCAN25	-
LTBR	-
EVPLL	-
IVD	-
ZNF131	-
MARCHF10	-
FAM168B	-
SRP14	-
SPINT4	-
CHD3	-
S100Z	-
BPIFB3	-
ANK3	-
DIS3L2	-
LINC00937	-
ATP8A2	-
MAGEC1	-
ERAP2	-
FAM27E5	-
BCL6	-
BID	-
LEP	-
RABEPK	-
COQ3	-
PCTP	-
SFTPA1	-
LINC01676	-
MFSD13A	-
TNFRSF4	-
LRIT3	-
OTUD6B-AS1	-
DNAJA1P5	-
FMO4	-
AUNIP	-
ATP23	-
PLGLA	-
SMPD4	-
MIR8084	-
GET4	-
WHAMMP2	-
RPS6KA5	-
CCNI2	-
BMPR1B	-
NUTM2F	-
TBX18	-
LCN6	-
EFR3B	-
MBOAT4	-
OR7E24	-
KLC2	-
C19orf81	-
SLC6A12	-
TIGIT	-
MKS1	-
PTPRZ1	-
APOA1	-
F11R	-
SMURF1	-
GOLGA2P11	-
CCDC144NL-AS1	-
TNIK	-
P4HB	-
LINC00314	-
NIPSNAP3A	-
MLPH	-
TNK2	-
TSSK3	-
GEMIN5	-
NTAN1	-
MC4R	-
RNF103	-
LINC02401	-
ETV3L	-
KLKB1	-
LINC02108	-
OR6B2	-
PMPCB	-
XPR1	-
WDFY3-AS2	-
TMBIM4	-
LINC01022	-
LILRA1	-
MYH13	-
CCDC32	-
LINC01976	-
SPATS1	-
APOA4	-
MAPK12	-
CEP104	-
LINC02044	-
MOB3C	-
KDM4C	-
NUP50	-
PRKCI	-
RNA28SN5	-
IFNA6	-
PTPN3	-
COL26A1	-
NPAT	-
ATRX	-
ZBTB42	-
BTN3A1	-
HLA-DMA	-
PPP1R32	-
FAM185A	-
HR	-
TMEM120B	-
TRIM58	-
CHRNA1	-
NAALAD2	-
HTR3A	-
GOLGA6L3	-
TMEM260	-
PROCR	-
RASSF1	-
WTAP	-
ZNF398	-
CA5A	-
CDKN2B-AS1	-
LINC01608	-
SCAI	-
TBILA	-
CRYBB2P1	-
RNF32	-
DNAJC25-GNG10	-
LINC02119	-
PRSS30P	-
KCNJ12	-
LINC00367	-
GFOD2	-
CFHR4	-
GTF2IP20	-
ARID5A	-
SLC25A51P4	-
APCDD1	-
MYCL	-
PDCL3P4	-
ZNF518A	-
KCNC4	-
SNORD114-7	-
OGFOD1	-
DNMBP-AS1	-
RFPL4A	-
CALML3-AS1	-
GNB4	-
HSPA6	-
ASAH2B	-
MIR8078	-
LINC01465	-
MRPS31P5	-
RBM48	-
OR9Q1	-
NDUFA6	-
MIR3679	-
GPR55	-
CPZ	-
LINC00565	-
LINC02259	-
ADGRE2	-
PGM5P4-AS1	-
ATPAF1	-
CA6	-
MIR7150	-
LRRN4	-
SERHL	-
THSD7B	-
FKBP5	-
PPRC1	-
PTGER3	-
RNASE13	-
RPS14	-
GRB7	-
TMCO5A	-
EFS	-
LCMT1-AS2	-
ZW10	-
APCDD1L-DT	-
SOWAHC	-
AKT1	-
CNOT4	-
GTPBP10	-
LINC01589	-
SEC1P	-
KPRP	-
IFNL4	-
LINC00996	-
OR5M3	-
PLCB2	-
NSRP1	-
MEI1	-
MIR411	-
PRKACG	-
SCEL-AS1	-
OR51A2	-
SRL	-
PNPO	-
ADAMDEC1	-
CYP21A1P	-
PSMC1	-
BRIX1	-
IFNA22P	-
RBMS2	-
TSPAN11	-
ZDHHC7	-
PRPF4B	-
GPATCH2	-
PLXNA3	-
NPTX1	-
MANEA-DT	-
CENPF	-
HOMEZ	-
CACNA1H	-
SMAD1-AS2	-
KRTAP10-5	-
DDT	-
SLC6A19	-
ZDHHC21	-
CPT1B	-
CASP7	-
COLGALT1	-
PSMC6	-
AQP7P1	-
MAP7	-
TEX52	-
PCDHA8	-
PIP4P2	-
OSBPL7	-
ELANE	-
LRFN3	-
PLA2G2D	-
RNR2	-
ZNF468	-
CEP44	-
FBRSL1	-
LINC00305	-
MED23	-
SHISA2	-
TMEM185A	-
KBTBD11	-
TRPV6	-
PLOD2	-
NLRP13	-
SLC4A9	-
KIAA0087	-
ATP6V1G3	-
ACTL6B	-
ARFGEF1	-
FDXACB1	-
SALL3	-
MIR3976HG	-
YIPF1	-
AOX3P-AOX2P	-
PPTC7	-
ZNF630	-
TET2-AS1	-
TAAR3P	-
LINC01270	-
DEFB108B	-
OR2T35	-
GCAT	-
LINC02260	-
PDZRN3	-
SNORA46	-
PLEKHG4	-
C20orf194	-
PDGFRL	-
PIRT	-
PELI1	-
CCL16	-
LRRC74A	-
LINC02458	-
KRTAP22-1	-
ZP4	-
RN7SL2	-
TADA1	-
SIN3B	-
LRRC4	-
COPB1	-
MTX3	-
MIR4752	-
ARMH2	-
TFRC	-
NTRK3-AS1	-
TIMP3	-
DPP9-AS1	-
HLA-DMB	-
JPH2	-
PRCC	-
MAP3K8	-
LINC01778	-
MIR3142HG	-
CNNM3	-
DOK2	-
KCNQ5-AS1	-
ODF4	-
PELI2	-
MSH3	-
KLHL24	-
MIR4441	-
HSFX1	-
DYNAP	-
MT-TS2	-
FAM43B	-
KREMEN1	-
TNK1	-
SELENBP1	-
LINC01197	-
CDRT1	-
BCKDK	-
ATMIN	-
DSEL	-
IYD	-
CR2	-
PAH	-
GUCY2D	-
HEXA-AS1	-
LINC02062	-
RPH3A	-
POLR3A	-
ZFP82	-
LDLRAP1	-
MIA-RAB4B	-
PCYOX1L	-
BMP6	-
GOLGA3	-
ESCO2	-
CARMIL2	-
ZNF670-ZNF695	-
PRTG	-
ST6GALNAC3	-
CCN5	-
RNF144A	-
SUGCT	-
LAMP1	-
DAB2IP	-
CTNNA1	-
CLMN	-
EEA1	-
LINC02107	-
OR10A2	-
IER2	-
AOAH	-
PALD1	-
R3HCC1	-
DTNA	-
FRG2C	-
TRIO	-
LINC00672	-
DHX29	-
CD68	-
SNHG16	-
ZNF682	-
BMP1	-
TNRC18	-
WAKMAR2	-
ARHGAP27	-
C10orf90	-
TMEM198B	-
C3orf85	-
CFAP97	-
POM121L4P	-
LINC02162	-
UCHL1-AS1	-
DCST1	-
SEC22C	-
CCDC15	-
ASTE1	-
HCG26	-
HEMK1	-
CARD8-AS1	-
GYPB	-
LINC02271	-
LLGL1	-
PRL	-
RRP7BP	-
GRAMD1C	-
UTRN	-
LINC01715	-
ZNF343	-
MRPL28	-
NDUFA10	-
SLU7	-
TTC37	-
ZKSCAN4	-
OR51B5	-
HYDIN	-
CA3	-
RALGPS1	-
CXXC5	-
SNCA-AS1	-
PCDHGB5	-
KIF6	-
ARHGEF28	-
RNF146	-
GGCX	-
SETD9	-
LINC00484	-
HNRNPM	-
AADAC	-
PTPRK	-
RMC1	-
DUT	-
SPATA24	-
TOX2	-
ERICH6-AS1	-
CACNA2D2	-
SMAP1	-
MT-TL1	-
DOK3	-
NAMA	-
HAO1	-
ALDH16A1	-
CCDC190	-
LINC02322	-
ZDHHC11	-
TEX101	-
KLHL3	-
LINC01687	-
MIR4669	-
OR7A17	-
CST1	-
PTPRF	-
AADACL2-AS1	-
SLC39A12-AS1	-
B4GALNT2	-
LINC02549	-
PAG1	-
TMPRSS4	-
TBC1D3H	-
MZF1-AS1	-
USP27X-AS1	-
FKTN	-
LRRC14	-
KPNA4	-
CTTN	-
FKBP1AP1	-
KIAA1755	-
ODF3L2	-
ZNF766	-
LINC01591	-
GLI2	-
TRIM5	-
LINC01930	-
MTMR9	-
ZNF667	-
SNX1	-
CCDC38	-
CEP83	-
OR52K2	-
NCR3	-
C4orf45	-
LINC00462	-
CLEC4F	-
RB1-DT	-
SENP6	-
LRRC63	-
DLGAP1-AS2	-
HOXC10	-
KRTAP10-11	-
CCNK	-
LINC00378	-
MIR5689	-
C9orf85	-
TREML2	-
SNORD115-20	-
LINC02344	-
PGD	-
LINC01344	-
GSC-DT	-
SPESP1	-
MRPS31	-
TXNL1	-
SGO1	-
NEK11	-
IFNW1	-
NUF2	-
PLB1	-
AGR2	-
CSF1	-
SUN2	-
PTPN13	-
FBXO47	-
FER	-
IL12RB1	-
LINC01053	-
KRTAP5-4	-
CHST9	-
ERBB2	-
LINC01725	-
MRPL45P2	-
CCDC60	-
CYP4F24P	-
EPS15L1	-
SDSL	-
ETV3	-
CCDC66	-
NCK1-DT	-
LINC01411	-
ITPRIP	-
SFMBT1	-
AHSP	-
BCL2L10	-
NKX6-2	-
XRCC3	-
ENO3	-
AMMECR1L	-
ACHE	-
EDEM3	-
SLC5A5	-
KIF21B	-
CST5	-
CYP26C1	-
LINC01531	-
MIR548H1	-
BTN2A2	-
TFEC	-
SH3GL3	-
RGPD2	-
B4GALNT3	-
NUDT7	-
TTYH1	-
DOCK4-AS1	-
CELA2A	-
LINC00458	-
P4HA3-AS1	-
SLC2A4RG	-
HLA-F-AS1	-
AIRE	-
MARCHF8	-
LINC01793	-
CD8B2	-
BTBD17	-
